ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
41304-3000-1.zip,202202101235,佐賀郡久保田町,地区外-977348,,
41304-3000-1.zip,202202101235,佐賀郡久保田町,地区外-977349,,
41304-3000-1.zip,202202101235,佐賀郡久保田町,地区外-977350,,
41304-3000-1.zip,202202101235,佐賀郡久保田町,地区外-977351,,
41304-3000-1.zip,202202101235,佐賀郡久保田町,地区外-977352,,
41304-3000-1.zip,202202101235,佐賀郡久保田町,地区外-977353,,
41304-3000-1.zip,202202101235,佐賀郡久保田町,地区外-977354,,
41304-3000-1.zip,202202101235,佐賀郡久保田町,地区外-977355,,
41304-3000-1.zip,202202101235,佐賀郡久保田町,地区外-977356,,
41304-3000-1.zip,202202101235,佐賀郡久保田町,地区外-977357,,
41304-3000-1.zip,202202101235,佐賀郡久保田町,地区外-977358,,
41304-3000-1.zip,202202101235,佐賀郡久保田町,地区外-977359,,
41304-3000-1.zip,202202101235,佐賀郡久保田町,地区外-977360,,
41304-3000-1.zip,202202101235,佐賀郡久保田町,地区外-977361,,
41304-3000-1.zip,202202101235,佐賀郡久保田町,地区外-977362,,
41304-3000-1.zip,202202101235,佐賀郡久保田町,地区外-977363,,
41304-3000-2.zip,202202101235,佐賀郡久保田町大字久保田,道-1,,
41304-3000-2.zip,202202101235,佐賀郡久保田町,地区外-1025045,,
41304-3000-2.zip,202202101235,佐賀郡久保田町,地区外-1025046,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字久保田,無地番-20,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字久保田,道-85,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字久保田,水-10,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字久保田,水-76,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字久保田,道-82,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字久保田,道-81,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字久保田,長狭物不明-1,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字久保田,道-5,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字久保田,道-13,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字久保田,水-5,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字久保田,水-68,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字久保田,水-70,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字久保田,水-71,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字久保田,水-73,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字久保田,水-74,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字久保田,道-87,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字久保田,無地番-21,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字久保田,道-80,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字久保田,道-84,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字久保田,無地番-22,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字久保田,道-6,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字久保田,道-83,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字久保田,水-8,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字徳万,道-92,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字新田,水-12,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字新田,水-82,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字久富,水-17,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字久富,水-19,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字久富,長狭物不明-3,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字久富,長狭物不明-5,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字久富,道-93,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字久富,道-94,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字久富,水-16,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字久富,長狭物不明-4,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字久富,水-18,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字久富,道-16,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字久富,水-14,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字久富,水-15,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字久富,長狭物不明-2,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字江戸,水-21,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字江戸,水-22,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字江戸,長狭物不明-7,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字江戸,長狭物不明-8,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字江戸,長狭物不明-6,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字江戸,道-20,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字江戸,道-19,,
41304-3000-3.zip,202202101235,佐賀郡久保田町大字江戸,水-23,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572868,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572869,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572870,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572871,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572872,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572873,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572874,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572876,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572877,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572878,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572879,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572880,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572881,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572882,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572883,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572884,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572885,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572886,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572887,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572888,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572889,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572890,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572891,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572892,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572893,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572894,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572895,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572896,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572897,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572898,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572899,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572900,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572901,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572902,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572903,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572904,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572905,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572906,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572907,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572908,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572909,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572910,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572911,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572912,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572913,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572914,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572915,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572916,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572917,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572918,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572919,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572920,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572922,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572923,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572924,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572925,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572926,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572927,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572928,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572929,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572930,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572931,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572932,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572933,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572934,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572936,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572937,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572938,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572939,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572940,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572942,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572943,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572944,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572945,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572946,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572947,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572948,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572949,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572950,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572951,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572952,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572953,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572954,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572955,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572956,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572957,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572958,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572959,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572960,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572961,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572962,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572963,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572964,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572965,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572966,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572967,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572968,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572969,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572970,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572971,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572972,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572973,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572974,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572975,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572976,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572977,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572978,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572979,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572980,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572981,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572982,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572983,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572984,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572985,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572986,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572987,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572988,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572989,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572990,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572991,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572992,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572993,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572994,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572995,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572996,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572997,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572998,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2572999,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573000,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573001,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573002,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573003,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573004,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573005,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573006,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573007,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573008,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573009,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573010,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573011,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573012,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573013,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573014,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573015,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573016,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573017,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573018,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573019,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573020,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573021,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573022,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573023,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573024,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573025,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573026,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573027,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573028,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573029,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573030,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573031,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573032,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573033,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573034,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573035,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573036,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573037,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573038,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573039,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573040,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573041,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573042,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573043,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573044,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573045,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573046,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573047,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573048,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573049,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573050,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573051,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573052,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573053,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573054,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573055,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573056,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573057,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573058,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573059,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573060,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573061,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573062,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573063,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573064,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573065,,
41304-3000-3.zip,202202101235,佐賀郡久保田町,地区外-2573066,,
